,用户号,设备号,点播日期,节目名称,点播金额,点播金额.元.,二级目录
0,10004,11186,20170716,分裂,999,9.99,院线大片
1,10004,11186,20170716,破冰船,499,4.99,精彩点
2,10004,11186,20170818,逆时营救,999,9.99,院线大片
3,10012,10149,20170702,幽游白书,99,0.99,动漫剧场
4,10012,10149,20170704,蓝精灵：寻找神秘村,999,9.99,院线大片
5,10012,10149,20170711,巧虎来啦,49,0.49,少儿乐园
6,10012,10149,20170903,海底小纵队,99,0.99,动漫剧场
7,10012,10149,20170910,三生三世十里桃花,999,9.99,院线大片
8,10012,10149,20170928,银河护卫队2,999,9.99,院线大片
9,10025,10114,20170901,海底小纵队,99,0.99,动漫剧场
10,10064,10645,20170806,人民的名义,99,0.99,精彩点
11,10064,10645,20170807,人民的名义,99,0.99,精彩点
12,10064,10645,20170807,人民的名义,99,0.99,精彩点
13,10082,11141,20170906,讲古：惠来海角甘泉,50,0.5,潮语专区
14,10082,11141,20170906,讲古：贼,50,0.5,潮语专区
15,10085,10452,20170808,速度与激情8,999,9.99,院线大片
16,10088,11234,20170807,血狼犬,999,9.99,院线大片
17,10088,11234,20170811,摔跤吧！爸爸,999,9.99,院线大片
18,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
19,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
20,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
21,10089,10291,20170815,魔法俏佳人 第一季,499,4.99,少儿乐园
22,10104,10349,20170714,摔跤吧！爸爸,999,9.99,院线大片
23,10105,10785,20170707,猪猪侠：光明守卫者·上部,99,0.99,动漫剧场
24,10105,10785,20170708,猪猪侠：光明守卫者·上部,99,0.99,动漫剧场
25,10107,11259,20170827,同盟,99,0.99,精彩点
26,10107,11259,20170827,同盟,99,0.99,精彩点
27,10107,11259,20170828,同盟,99,0.99,精彩点
28,10107,11259,20170828,同盟,99,0.99,精彩点
29,10107,11259,20170828,同盟,99,0.99,精彩点
30,10107,11259,20170828,同盟,99,0.99,精彩点
31,10107,11259,20170828,同盟,99,0.99,精彩点
32,10107,11259,20170828,同盟,99,0.99,精彩点
33,10115,11179,20170813,巧虎来啦,49,0.49,少儿乐园
34,10115,11179,20170813,08月09日 智慧树,49,0.49,少儿乐园
35,10115,11179,20170813,08月10日 智慧树,49,0.49,少儿乐园
36,10115,11179,20170813,08月01日 七巧板,49,0.49,少儿乐园
37,10115,11179,20170919,曹格演唱会,199,1.99,热门影视
38,10129,11001,20170725,胜利的游戏 第一季：曹云金吐槽假脸李小璐,99,0.99,热门影视
39,10129,11001,20170726,屌丝男士 第二季,99,0.99,热门影视
40,10129,11001,20170818,银河护卫队2,999,9.99,院线大片
41,10129,11001,20170820,长城,999,9.99,院线大片
42,10131,10630,20170830,我的前半生,99,0.99,精彩点
43,10131,10630,20170830,我的前半生,99,0.99,精彩点
44,10131,10630,20170830,我的前半生,99,0.99,精彩点
45,10131,10630,20170831,我的前半生,99,0.99,精彩点
46,10131,10630,20170831,我的前半生,99,0.99,精彩点
47,10131,10630,20170831,我的前半生,99,0.99,精彩点
48,10131,10630,20170831,我的前半生,99,0.99,精彩点
49,10131,10630,20170910,我的前半生,99,0.99,精彩点
50,10131,10630,20170910,我的前半生,99,0.99,精彩点
51,10131,10630,20170910,我的前半生,99,0.99,精彩点
52,10131,10630,20170910,我的前半生,99,0.99,精彩点
53,10131,10630,20170910,我的前半生,99,0.99,精彩点
54,10131,10630,20170911,我的前半生,99,0.99,精彩点
55,10131,10630,20170911,我的前半生,99,0.99,精彩点
56,10131,10630,20170911,我的前半生,99,0.99,精彩点
57,10131,10630,20170911,我的前半生,99,0.99,精彩点
58,10131,10630,20170911,我的前半生,99,0.99,精彩点
59,10131,10630,20170912,我的前半生,99,0.99,精彩点
60,10131,10630,20170912,我的前半生,99,0.99,精彩点
61,10131,10630,20170913,我的前半生,99,0.99,精彩点
62,10131,10630,20170913,我的前半生,99,0.99,精彩点
63,10131,10630,20170913,我的前半生,99,0.99,精彩点
64,10131,10630,20170915,欢乐颂2,99,0.99,精彩点
65,10131,10630,20170917,欢乐颂2,99,0.99,精彩点
66,10131,10630,20170921,欢乐颂2,99,0.99,精彩点
67,10131,10630,20170921,使徒行者2,99,0.99,精彩点
68,10131,10630,20170922,欢乐颂2,99,0.99,精彩点
69,10131,10630,20170924,欢乐颂2,99,0.99,精彩点
70,10133,11053,20170706,精灵梦叶罗丽,49,0.49,动漫剧场
71,10133,11053,20170706,精灵梦叶罗丽3,99,0.99,动漫剧场
72,10133,11053,20170711,精灵梦叶罗丽2,99,0.99,动漫剧场
73,10133,11053,20170712,精灵梦叶罗丽2,99,0.99,动漫剧场
74,10133,11053,20170712,精灵梦叶罗丽2,99,0.99,动漫剧场
75,10133,11053,20170717,精灵梦叶罗丽2,99,0.99,动漫剧场
76,10133,11053,20170717,精灵梦叶罗丽2,99,0.99,动漫剧场
77,10133,11053,20170717,精灵梦叶罗丽2,99,0.99,动漫剧场
78,10133,11053,20170718,精灵梦叶罗丽2,99,0.99,动漫剧场
79,10133,11053,20170903,07月02日 小花仙,49,0.49,精彩点
80,10133,11053,20170903,07月01日 小花仙,49,0.49,精彩点
81,10133,11053,20170915,镇魂街 第一季,99,0.99,热门影视
82,10133,11053,20170915,雄狮,999,9.99,院线大片
83,10133,11053,20170917,爱丽丝梦游仙境,499,4.99,热点专题
84,10138,10058,20170708,巧虎来啦,49,0.49,少儿乐园
85,10138,10058,20170708,巧虎来啦,49,0.49,少儿乐园
86,10138,10058,20170708,05月05日 快乐大巴,49,0.49,少儿乐园
87,10138,10058,20170708,巧虎来啦,49,0.49,少儿乐园
88,10138,10058,20170708,小猪佩奇 第三季,499,4.99,少儿乐园
89,10138,10058,20170709,巧虎来啦,49,0.49,少儿乐园
90,10138,10058,20170709,托马斯和他的朋友们 第十五季,499,4.99,少儿乐园
91,10138,10058,20170709,巧虎来啦,49,0.49,少儿乐园
92,10138,10058,20170709,小猪佩奇 第三季,499,4.99,少儿乐园
93,10138,10058,20170709,小猪佩奇 第三季,499,4.99,少儿乐园
94,10138,10058,20170710,巧虎来啦,49,0.49,少儿乐园
95,10138,10058,20170710,小猪佩奇 第四季,499,4.99,少儿乐园
96,10138,10058,20170713,巧虎来啦,49,0.49,少儿乐园
97,10138,10058,20170715,巧虎来啦,49,0.49,少儿乐园
98,10138,10058,20170715,小猪佩奇 第三季,499,4.99,少儿乐园
99,10138,10058,20170716,巧虎来啦,49,0.49,少儿乐园
100,10138,10058,20170716,小猪佩奇 第三季,499,4.99,少儿乐园
101,10138,10058,20170719,生化危机：终章,999,9.99,院线大片
102,10138,10058,20170722,超级飞侠3,99,0.99,动漫剧场
103,10138,10058,20170723,摔跤吧！爸爸,999,9.99,院线大片
104,10138,10058,20170723,巧虎来啦,49,0.49,少儿乐园
105,10138,10058,20170727,巧虎来啦,49,0.49,少儿乐园
106,10138,10058,20170731,巧虎来啦,49,0.49,少儿乐园
107,10138,10058,20170731,巧虎来啦,49,0.49,少儿乐园
108,10138,10058,20170801,巧虎来啦,49,0.49,少儿乐园
109,10138,10058,20170801,小猪佩奇 第三季,499,4.99,少儿乐园
110,10138,10058,20170804,女间谍,999,9.99,院线大片
111,10138,10058,20170807,美好的意外,999,9.99,院线大片
112,10138,10058,20170807,速度与激情8,999,9.99,院线大片
113,10138,10058,20170808,巧虎来啦,49,0.49,少儿乐园
114,10138,10058,20170808,巧虎来啦,49,0.49,少儿乐园
115,10138,10058,20170810,巧虎来啦,49,0.49,少儿乐园
116,10138,10058,20170813,托马斯和他的朋友们 第十五季,499,4.99,少儿乐园
117,10138,10058,20170813,巧虎来啦,49,0.49,少儿乐园
118,10138,10058,20170814,巧虎来啦,49,0.49,少儿乐园
119,10138,10058,20170814,托马斯和他的朋友们 第十四季,499,4.99,少儿乐园
120,10138,10058,20170816,巧虎来啦,49,0.49,少儿乐园
121,10138,10058,20170817,巧虎来啦,49,0.49,少儿乐园
122,10138,10058,20170818,巧虎来啦,49,0.49,少儿乐园
123,10138,10058,20170823,小猪佩奇 第四季,499,4.99,少儿乐园
124,10138,10058,20170823,巧虎来啦,49,0.49,少儿乐园
125,10138,10058,20170828,雄狮,999,9.99,院线大片
126,10138,10058,20170828,异星觉醒,999,9.99,院线大片
127,10138,10058,20170828,巧虎来啦,49,0.49,少儿乐园
128,10138,10058,20170830,巧虎来啦,49,0.49,少儿乐园
129,10138,10058,20170830,你的名字,999,9.99,院线大片
130,10138,10058,20170901,托马斯和他的朋友们 第十四季,499,4.99,少儿乐园
131,10138,10058,20170901,巧虎来啦,49,0.49,少儿乐园
132,10138,10058,20170904,绣春刀II：修罗战场,999,9.99,院线大片
133,10138,10058,20170907,巧虎来啦,49,0.49,少儿乐园
134,10138,10058,20170909,巧虎来啦,49,0.49,少儿乐园
135,10138,10058,20170909,小猪佩奇 第三季,499,4.99,少儿乐园
136,10138,10058,20170909,巧虎来啦,49,0.49,少儿乐园
137,10138,10058,20170912,巧虎来啦,49,0.49,少儿乐园
138,10138,10058,20170913,巧虎来啦,49,0.49,少儿乐园
139,10138,10058,20170913,托马斯和他的朋友们 第十五季,499,4.99,少儿乐园
140,10138,10058,20170913,绣春刀II：修罗战场,999,9.99,院线大片
141,10138,10058,20170914,巧虎来啦,49,0.49,少儿乐园
142,10138,10058,20170914,托马斯和他的朋友们 第十五季,499,4.99,少儿乐园
143,10138,10058,20170916,巧虎来啦,49,0.49,少儿乐园
144,10138,10058,20170916,巧虎来啦,49,0.49,少儿乐园
145,10138,10058,20170916,巧虎来啦,49,0.49,少儿乐园
146,10138,10058,20170916,巧虎来啦,49,0.49,少儿乐园
147,10138,10058,20170917,巧虎来啦,49,0.49,少儿乐园
148,10138,10058,20170918,巧虎来啦,49,0.49,少儿乐园
149,10138,10058,20170919,巧虎来啦,49,0.49,少儿乐园
150,10148,10280,20170729,奥特银河大怪兽之战,499,4.99,少儿乐园
151,10148,10280,20170810,逆时营救,999,9.99,院线大片
152,10148,10280,20170825,逆时营救,999,9.99,院线大片
153,10152,11255,20170822,临时演员,999,9.99,院线大片
154,10152,11255,20170822,血狼犬,999,9.99,院线大片
155,10152,11255,20170922,银河护卫队2,999,9.99,院线大片
156,10152,11255,20170925,女间谍,999,9.99,院线大片
157,10168,10343,20170721,吃吃的爱,999,9.99,院线大片
158,10175,10257,20170928,捷德奥特曼,99,0.99,动漫剧场
159,10195,11291,20170924,摔跤吧！爸爸,999,9.99,院线大片
160,10213,10735,20170923,人间至味是清欢,99,0.99,精彩点
161,10213,10735,20170924,人间至味是清欢,99,0.99,精彩点
162,10213,10735,20170924,人间至味是清欢,99,0.99,精彩点
163,10213,10735,20170924,人间至味是清欢,99,0.99,精彩点
164,10213,10735,20170924,人间至味是清欢,99,0.99,精彩点
165,10213,10735,20170924,人间至味是清欢,99,0.99,精彩点
166,10213,10735,20170925,人间至味是清欢,99,0.99,精彩点
167,10213,10735,20170925,人间至味是清欢,99,0.99,精彩点
168,10213,10735,20170925,人间至味是清欢,99,0.99,精彩点
169,10213,10735,20170925,人间至味是清欢,99,0.99,精彩点
170,10213,10735,20170930,绣春刀II：修罗战场,999,9.99,院线大片
171,10228,10954,20170916,银河护卫队2,999,9.99,院线大片
172,10228,10954,20170916,愤怒的小鸟 第一季,49,0.49,动漫剧场
173,10228,10954,20170916,新木乃伊,999,9.99,院线大片
174,10234,10345,20170712,西游伏妖篇,999,9.99,院线大片
175,10234,10345,20170923,神偷奶爸3,999,9.99,院线大片
176,10234,10345,20170923,博人传 火影忍者新时代,99,0.99,动漫剧场
177,10234,10345,20170923,银河护卫队2,999,9.99,院线大片
178,10234,10345,20170929,我的英雄学院,99,0.99,动漫剧场
179,10234,10345,20170930,我的英雄学院,99,0.99,动漫剧场
180,10234,10345,20170930,我的英雄学院,99,0.99,动漫剧场
181,10234,10345,20170930,我的英雄学院,99,0.99,动漫剧场
182,10234,10345,20170930,我的英雄学院,99,0.99,动漫剧场
183,10242,10090,20170827,窈窕绅士,499,4.99,精彩点
184,10247,11175,20170723,07月22日 非诚勿扰：高颜值小鲜肉被女嘉宾调戏,99,0.99,精彩点
185,10258,10784,20170715,Clannad 第一季,99,0.99,动漫剧场
186,10259,10506,20170822,银河护卫队2,999,9.99,院线大片
187,10264,10660,20170708,拆弹专家,999,9.99,院线大片
188,10264,10660,20170708,异星觉醒,999,9.99,院线大片
189,10264,10660,20170710,摔跤吧！爸爸,999,9.99,院线大片
190,10264,10660,20170710,生化危机：终章,999,9.99,院线大片
191,10272,10416,20170831,杀破狼,499,4.99,热点专题
192,10273,11218,20170701,06月30日 奔跑吧：收官之战！邓超遇王力宏变迷弟,99,0.99,精彩点
193,10273,11218,20170702,07月01日 快乐大本营：刘恺威魏大勋COS偶像演绎串烧,99,0.99,精彩点
194,10273,11218,20170718,07月07日 奔跑吧：奔跑团探班 鹿晗热巴二次元对话萌翻,99,0.99,精彩点
195,10273,11218,20170718,07月15日 快乐大本营：Angelababy嗨玩双截棍,99,0.99,精彩点
196,10273,11218,20170721,03月25日 王牌对王牌 第二季：王源演技爆发成烈士,99,0.99,精彩点
197,10273,11218,20170721,03月10日 王牌对王牌 第二季：爱情公寓8周年重聚,99,0.99,精彩点
198,10273,11218,20170722,神偷奶爸2,499,4.99,热点专题
199,10273,11218,20170723,07月22日 快乐大本营：范爷胡歌送祝福惹哭何老师,99,0.99,精彩点
200,10273,11218,20170724,07月22日 中餐厅：赵薇晓明“相爱相杀”,99,0.99,精彩点
201,10273,11218,20170727,03月31日 王牌对王牌 第二季：王源林俊杰隔空互动,99,0.99,精彩点
202,10273,11218,20170728,04月07日 王牌对王牌 第二季：王源魔幻弹唱 贾玲辣眼cos白浅,99,0.99,精彩点
203,10273,11218,20170730,07月29日 快乐大本营：TFBOYS献唱快本最新主题曲,99,0.99,精彩点
204,10273,11218,20170803,07月29日 中餐厅：张亮展厨艺圈粉周冬雨,99,0.99,精彩点
205,10273,11218,20170808,08月05日 中餐厅：黄晓明再掀定价风波,99,0.99,精彩点
206,10273,11218,20170820,08月18日 我们来了 第二季：陈妍希展现跳远绝技,99,0.99,精彩点
207,10273,11218,20170903,09月01日 我们来了 第二季：宋茜被辣哭贡献表情包,99,0.99,精彩点
208,10273,11218,20170909,09月08日 我们来了 第二季：陈妍希携吴秀波唱情歌,99,0.99,精彩点
209,10273,11218,20170924,09月22日 我们来了 第二季：关之琳隐藏技能大爆发,99,0.99,精彩点
210,10289,10413,20170708,巧虎来啦,49,0.49,少儿乐园
211,10289,10413,20170710,摔跤吧！爸爸,999,9.99,院线大片
212,10299,10015,20170708,我的一九九七,99,0.99,精彩点
213,10299,10015,20170713,我的一九九七,99,0.99,精彩点
214,10299,10015,20170713,我的一九九七,99,0.99,精彩点
215,10299,10015,20170718,我的前半生,99,0.99,精彩点
216,10299,10015,20170730,楚乔传,99,0.99,精彩点
217,10299,10015,20170803,楚乔传,99,0.99,精彩点
218,10299,10015,20170803,楚乔传,99,0.99,精彩点
219,10299,10015,20170812,楚乔传,99,0.99,精彩点
220,10299,10015,20170812,楚乔传,99,0.99,精彩点
221,10299,10015,20170812,楚乔传,99,0.99,精彩点
222,10299,10015,20170812,楚乔传,99,0.99,精彩点
223,10299,10015,20170813,楚乔传,99,0.99,精彩点
224,10299,10015,20170813,楚乔传,99,0.99,精彩点
225,10299,10015,20170909,我们的爱,99,0.99,精彩点
226,10299,10015,20170909,我们的爱,99,0.99,精彩点
227,10299,10015,20170910,人间至味是清欢,99,0.99,精彩点
228,10299,10015,20170910,我们的爱,99,0.99,精彩点
229,10299,10015,20170911,秦时丽人明月心,99,0.99,精彩点
230,10299,10015,20170911,平凡岁月,99,0.99,精彩点
231,10299,10015,20170928,我的前半生,99,0.99,精彩点
232,10303,10500,20170909,人间至味是清欢,99,0.99,精彩点
233,10303,10500,20170909,我差点就信了,99,0.99,动漫剧场
234,10303,10500,20170909,09月01日 星原小宝,49,0.49,精彩点
235,10303,10500,20170909,小猪佩奇 第三季,499,4.99,少儿乐园
236,10303,10500,20170909,人间至味是清欢,99,0.99,精彩点
237,10303,10500,20170909,人间至味是清欢,99,0.99,精彩点
238,10303,10500,20170909,小猪佩奇 第四季,99,0.99,动漫剧场
239,10303,10500,20170909,人间至味是清欢,99,0.99,精彩点
240,10303,10500,20170911,人间至味是清欢,99,0.99,精彩点
241,10310,10371,20170804,蜘蛛侠3,499,4.99,热点专题
242,10310,10371,20170819,星际穿越,499,4.99,精彩点
243,10310,10371,20170819,银河护卫队2,999,9.99,院线大片
244,10310,10371,20170819,银河护卫队,499,4.99,热点专题
245,10310,10371,20170820,复仇者联盟,499,4.99,热点专题
246,10310,10371,20170825,嫌疑人X的献身,999,9.99,院线大片
247,10310,10371,20170826,异星觉醒,999,9.99,院线大片
248,10310,10371,20170918,那年花开月正圆,99,0.99,精彩点
249,10310,10371,20170918,那年花开月正圆,99,0.99,精彩点
250,10310,10371,20170918,那年花开月正圆,99,0.99,精彩点
251,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
252,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
253,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
254,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
255,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
256,10310,10371,20170919,那年花开月正圆,99,0.99,精彩点
257,10310,10371,20170923,神偷奶爸3,999,9.99,院线大片
258,10310,10371,20170923,那年花开月正圆,99,0.99,精彩点
259,10310,10371,20170923,那年花开月正圆,99,0.99,精彩点
260,10310,10371,20170923,那年花开月正圆,99,0.99,精彩点
261,10310,10371,20170923,那年花开月正圆,99,0.99,精彩点
262,10310,10371,20170924,那年花开月正圆,99,0.99,精彩点
263,10324,10788,20170910,白夜追凶,99,0.99,热门影视
264,10324,10788,20170911,白夜追凶,99,0.99,热门影视
265,10324,10788,20170911,白夜追凶,99,0.99,热门影视
266,10324,10788,20170911,白夜追凶,99,0.99,热门影视
267,10324,10788,20170914,白夜追凶,99,0.99,热门影视
268,10324,10788,20170914,白夜追凶,99,0.99,热门影视
269,10324,10788,20170918,白夜追凶,99,0.99,热门影视
270,10324,10788,20170923,白夜追凶,99,0.99,热门影视
271,10324,10788,20170929,白夜追凶,99,0.99,热门影视
272,10340,10758,20170924,他是龙,499,4.99,精彩点
273,10340,10758,20170926,疯狂原始人,499,4.99,精彩点
274,10340,10758,20170926,哆啦A梦 第一季,99,0.99,动漫剧场
275,10351,11135,20170831,悟空传,999,9.99,院线大片
276,10384,11215,20170703,夏至未至,99,0.99,精彩点
277,10384,11215,20170704,夏至未至,99,0.99,精彩点
278,10384,11215,20170802,我们的少年时代,99,0.99,精彩点
279,10384,11215,20170802,我们的少年时代,99,0.99,精彩点
280,10384,11215,20170802,我们的少年时代,99,0.99,精彩点
281,10384,11215,20170811,浪花一朵朵,99,0.99,精彩点
